type,id,addr:city,addr:street,amenity,capacity,name,opening_hours,operator,wheelchair,id,F.layers,F.caption,F.allowPopup,F.icon,F.location,F.description,F.facilities,F.availability,F.contact,F.meta,geometry.type,geometry.coordinates,addr:country,addr:housename,addr:housenumber,addr:interpolation,addr:postcode,addr:village,brand,ref:pol_id,source:opening_hours,recycling:clothes,recycling:glass_bottles,recycling:magazines,recycling:newspaper,recycling_type,fuel:lpg,phone,ref:navads,fee,parking,addr:full,alt_name,layer,ref:edubase,wikidata,shop,internet_access,internet_access:fee,parking:disabled,toilets,toilets:disabled,website,wheelchair:note,access,capacity:disabled,fee:amount:15:00-08:00,fee:amount:1_hour,fee:amount:24_hour,fee:amount:2_hour,fee:amount:3_hour,fee:amount:4_hour,fee:amount:6_hour,maxheight,maxspeed,note,park_ride,toilets:wheelchair,fhrs:id,source:addr,payment:coins,ref,brand:wikidata,brand:wikipedia,cuisine,not:addr:postcode,opening_hours:kitchen,outdoor_seating,real_ale,addr:suburb,dispensing,fax,recycling:beverage_cartons,recycling:cans,recycling:paper,recycling:textiles,url,indoor,payment:credit_cards,payment:debit_cards,payment:telephone_cards,source:addr:postcode,opening_hours:post_office,addr:unit,recycling:shoes,recycling:aluminium_cans,recycling:aluminium_tins,recycling:card,recycling:cardboard,recycling:metal_aerosol_cans,recycling:plastic_bottles,recycling:steel_cans,recycling:steel_tins,recycling:scrap_metal,recycling:books,recycling:cartons,recycling:glass,recycling:music,contact:phone,level,atm,description,diaper,female,male,location,recycling:cooking_oil,vending,F.hoverCaption,supervised,capacity:bus,source,food,real_cider,shelter,email,no_return,drive_through,takeaway,wheelchair:description,addr:place,healthcare,unisex,changing_table,building,covered,contact:website,diet:gluten_free,diet:vegan,diet:vegetarian,gay,smoking,end_date,toilets:handwashing,operator:clothes,denomination,religion,fixme,postal_code,phone_alt,surface,old_name,source:name,colour,taxi,inside,kitchen_hours,branch_ref,toilets:disposal,payment:cash,payment:mastercard,payment:visa,phone:emergency,start_date,maxstay,stay,social_facility,emergency,shelter_type,booth,deaf:description:en,opening_hours:blood_tests,leisure,addr:site,drinking_water,addr:parentstreet,type,recycling:batteries,recycling:cds,recycling:plastic_bags,opening_hours:seasonal,payment:contactless,name:en,produce,self_service,tourism,FIXME,service_times,brewery,distillery,drink:beer,drink:gin,drink:vodka,drink:whisky,drink:wine,trade,facebook,instagram,short_name,animal_boarding,recycling:printer_cartridges,alt_url,max_age,min_age,addr:hamlet,second_hand,clothes,social_facility:for,centralkey,addr:locality,office,payment:jcb,payment:maestro,foot,landuse,wikipedia,fee:amount:conditional,fee:amount:maximum,fee:amount:18:00-00:00,fee:amount:8_hour,lit,capacity:parent,fee:amount:17:30-00:00,fee:amount:per_hour:07:00-17:30,fee:amount:5_hour,fee:amount:rail:unvalidated:24_hour,fee:amount:rail:validated:24_hour,maintenance,salting:ref,toilets:centralkey,toilets:changing_table,toilets:female,toilets:male,toilets:opening_hours,toilets:position,service,fuel:diesel,fuel:octane_95,fuel:octane_99,fuel:GTL_diesel,fuel:octane_97,source:building,auction_house,library:type,listed_status,source:outline,area,fuel:octane_98,ref:NPLG:UPRN:1,material,tower,phone:opening_hours,website:operator,sort_code,barrier,fence_type,alt_website,registered_charity_number,material:roof,mobile,was:amenity,delivery,school,disused:amenity,building:levels,sport,collection_times,source:position,spire,belfry,old_denomination,smoothness,material:tower,fixme:addr1,source:postcode,fee:overstay,art:type,wiki:en,contact:mobile,official_name,lgbtq,minimum_order,alcohol,contact:facebook,capacity:women,maxstay:conditional,no_return:conditional,owner,surveillance,opening_hours:parts,opening_hours:service,disused:shop,contact:email,strapline,gambling,dog,off_licence,leasing_number,tagline,phone:2,mot_station_ref,phone:free,service:bicycle:retail,loc_name,building:material,disabled,wheelchair:description:en,website:chinese,church:type,delivery:fee,delivery:min_payment,changing,disused,contact:fax,old_name2,inscription,phone:mobile,diet:pescetarian,computer:repair,built,alt_phone,fax:parts,opening_hours:sales,start_year,fixme:addr2,fixme:addr3,butcher,twitter,contact:instagram,addr:flats,payment:card,organic,beauty,building:roof:material,building:roof:orientation,building:roof:shape,source:amenity,phone:office,phone:parts,phone:service,opening_hours:reception,fee:quarter,operator:type,collection_point:opening_hours,roof:levels,diet:raw,drink:coffee,drink:tea,opened,access:disabled,toilets:access,toilets:description,changing_table:location,toilets:wheelchair:description,payment:bitcoin,craft,microbrewery,building:architecture,building:height,source:addr:housenumber,kitchen_hours:carvery,payment:apple_pay,payment:google_pay,payment:notes,payment:visa_debit,hgv,email:chef,email:hire,historic_name,company_number,payment:cryptocurrencies,payment:electronic_purses,phone:hours,screen,kitchen_hours:breakfast,kitchen_hours:main_menu,payment:discover_card,source:cuisine,addr:town,payment:cheque,payment:visa_electron,changing_table:description,noname,fee:amount:17:00-09:00,fee:amount:per_hour:09:00-17:00,opening_hours:parts:retail,opening_hours:parts:trade,opening_hours:phone:trade,phone:trade,service:vehicle:car_parts,service:vehicle:car_repair,service:vehicle:diagnostics,service:vehicle:new_car_sales,opening_hours:commercial,fhrs:rating,toilets_disabled,parking_disabled,beavers,cubs,scouts,scouts:explorer,formername,information,phone:tyre,opening_hours:bar,addr:name,fee:amount:day,fee:amount:hour,building:colour,website:2,shoes,architect,source:post_office,payzone,fixme:addr4,email:booking,motorcycle:clothes,consulting_hours,bar,proposed,capacity:emergency,capacity:permit,animal_shelter,bench,motorcycle:parts,motorcycle:repair,motorcycle:sales,recycling:electrical_appliances,recycling:green_waste,recycling:plastic,recycling:plastic_packaging,recycling:small_appliances,recycling:waste,height,studio,construction,addr:floor,addr:housenumber_1,addr:housenumber_2,opening_hours:url,payment:solo,opening_hours:office,service:computer,service:gaming,building:part,bus,public_transport,phone:3,capacity:staff,hardware,community_centre,phone:MOT,instrument,disabled:note,mobile_phone:repair,parking:condition,abandoned:building,access:conditional,pharmacy,fee:conditional,fee:minimum_spend,fee:minimum,name:fr,payment:american_express,payment:android_pay,payment:samsung_pay,jewelry,ref:edubase:url,strapline2,phone:admin,email:events,email:hotel
Feature,node/328762,Norwich,Riverside,taxi,3,Riverside Taxi Rank (Part Time),"""Part time""",Norwich City Council,yes,node/328762,here_taxi;around_wheelchair,Riverside Taxi Rank (Part Time),true,taxi,Riverside,Taxi Rank. ,,"<strong>Opening Hours:</strong><br/>""Part time""<br/>Wheelchair Accessible.",<strong>Operated By:</strong> Norwich City Council,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=328762&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.3051079;52.6266197
Feature,node/26114797,Norwich,The Street,post_office,,Brundall Post Office,Mo-Su 06:00-23:00,,,node/26114797,service_communications,Brundall Post Office,true,post_office,"49-53 Brundall Post Office, The Street, NR13 5AA",Post Office. ,,<strong>Opening Hours:</strong><br/>Monday-Sunday 06:00-23:00<br/>,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=26114797&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.433542;52.6240892,GB,Brundall Post Office,49-53,odd,NR13 5AA,Brundall,Post Office,496,pol_branch_list_2018-02
Feature,node/280299153,,,recycling,,,24/7,,,node/280299153,service_ethical,Recycling,true,recycling,,Recycling Bin. ,,<strong>Opening Hours:</strong><br/>24/7<br/>,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=280299153&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.2725013;52.6420144,,,,,,,,,,yes,yes,yes,yes,container
Feature,node/283315934,,,pub,,Cantley Cock,"Mo-Sa 11:30-15:00,18:00-23:30, Su 11:30-23:30",,,node/283315934,food,Cantley Cock,true,pub,NR13 3JQ,Pub. ,,"<strong>Opening Hours:</strong><br/>Monday-Saturday 11:30-15:00,18:00-23:30,<br/>Sunday 11:30-23:30<br/>",,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=283315934&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.512577;52.5979905,,,,,NR13 3JQ,,,,,,,,,
Feature,node/283562612,,,telephone,,,24/7,,,node/283562612,help,Telephone,true,telephone,,Telephone. ,,<strong>Opening Hours:</strong><br/>24/7<br/>,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=283562612&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.5145645;52.5797137,,,,,,,,,,,,,,
Feature,node/283566566,,,fuel,,,24/7,Shell,,node/283566566,here_car,Fuel,true,fuel,NR13 5AR,Petrol Station. ,,<strong>Opening Hours:</strong><br/>24/7<br/>,"<a href='phone:+44 1603 713734'> <i class=""fas fa-phone""></i> Phone 01603 713734</a><br/><strong>Operated By:</strong> Shell",<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=283566566&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.426703;52.6314673,,,,,NR13 5AR,,Shell,,,,,,,,no,+44 1603 713734,NVDS353_12038447
Feature,node/287570008,,,parking,,,,,,node/287570008,here_car,Parking,true,parking,,Parking. ,Surface Car Park . ,,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=287570008&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.300999;52.6332976,,,,,,,,,,,,,,,,,,yes,surface
Feature,node/287572475,,,parking,,,,,,node/287572475,here_car,Parking,true,parking,,Parking. ,Surface Car Park . ,,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=287572475&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.4521816;52.6258523,,,,,,,,,,,,,,,,,,,surface
Feature,node/289684310,,,parking,,,,,,node/289684310,here_car,Parking,true,parking,,Parking. ,Car Park . ,,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=289684310&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.4705032;52.5978118,,,,,,,,,,,,,,,,,,,
Feature,node/290794404,,,telephone,,,24/7,,,node/290794404,help,Telephone,true,telephone,,Telephone. ,,<strong>Opening Hours:</strong><br/>24/7<br/>,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=290794404&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.4849459;52.6366604,,,,,,,,,,,,,,,,,,,
Feature,node/291464444,Norwich,,university,,University of East Anglia,,,,node/291464444,service_learn,University of East Anglia,true,university,NR4 7TJ,University. ,,,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=291464444&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.2411579;52.622251,GB,,,,NR4 7TJ,,,,,,,,,,,,,,,"University of East Anglia, Norwich Research Park, Norwich, NR4 7TJ",UEA,2,133853,Q1045828
Feature,node/292840484,,,telephone,,,24/7,,,node/292840484,help,Telephone,true,telephone,,Telephone. ,,<strong>Opening Hours:</strong><br/>24/7<br/>,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=292840484&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.4915606;52.622582,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/293707583,,,telephone,,,24/7,,,node/293707583,help,Telephone,true,telephone,,Telephone. ,,<strong>Opening Hours:</strong><br/>24/7<br/>,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=293707583&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.2882611;52.6290164,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/296330830,,,,,HFG Farm Shop,,,,node/296330830,service_food,HFG Farm Shop,true,convenience,,Convenience store. ,,,,<strong>Data From:</strong> <a href='http://www.openstreetmap.org/edit?node=296330830&comment=TCSM' target='_blank' data-toggle='tooltip' title='Edit on OSM'>Open Street Map</a> <strong>on:</strong> undefined,Point,1.4577674;52.6356313,,,,,,,,,,,,,,,,,,,,,,,,,convenience
